iter	Passed	Remaining
0	0	73
1	1	68
2	1	64
3	2	59
4	3	60
5	3	59
6	4	58
7	4	57
8	5	57
9	6	57
10	7	57
11	7	57
12	8	56
13	9	56
14	9	55
15	10	54
16	11	54
17	11	53
18	12	52
19	13	52
20	13	51
21	14	50
22	14	49
23	15	48
24	15	47
25	16	46
26	17	46
27	17	45
28	18	44
29	18	43
30	19	43
31	19	42
32	20	41
33	21	41
34	22	41
35	22	40
36	23	39
37	24	39
38	24	38
39	25	38
40	26	37
41	26	36
42	27	36
43	27	35
44	28	34
45	29	34
46	29	33
47	30	33
48	31	32
49	32	32
50	32	31
51	33	30
52	34	30
53	34	29
54	35	28
55	35	28
56	36	27
57	37	26
58	37	26
59	38	25
60	39	25
61	40	24
62	40	23
63	41	23
64	42	22
65	42	22
66	43	21
67	44	20
68	44	20
69	45	19
70	46	18
71	47	18
72	47	17
73	48	17
74	49	16
75	49	15
76	50	15
77	51	14
78	51	13
79	52	13
80	53	12
81	53	11
82	54	11
83	55	10
84	55	9
85	56	9
86	57	8
87	57	7
88	58	7
89	59	6
90	60	5
91	60	5
92	61	4
93	62	3
94	62	3
95	63	2
96	64	1
97	64	1
98	65	0
99	66	0
